assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,108156,None,,0,0,0,0,0.0,286,119,None,,0,2,1.1,0.0,0,Bjorn,0.0,0,0,0.0,303,120,36,False,0.0,296,120,0,,None,45,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.2,False,None,a,2,7,0.0,233,102,0,274,274,803,803,0.0,0.0,Engels,0
0,0,0,None,None,0,114283,2,,0,0,0,0,0.0,513,203,7,,0,3,1.9,0.0,0,Jack,0.0,0,0,0.0,513,203,37,False,0.0,513,203,0,,None,70,0,0,3,0,,114283.jpg,0.0,0,0,Grealish,10.6,False,None,a,2,7,0.0,510,201,0,37590,37590,43791,43791,0.0,0.0,Grealish,0
0,0,0,None,None,0,122806,3,,0,0,0,0,0.0,452,173,6,,0,3,1.3,0.0,0,John,0.0,0,0,0.0,453,173,38,False,0.0,449,172,0,,None,55,0,0,None,0,,122806.jpg,0.0,0,0,McGinn,0.5,False,None,a,2,7,0.0,434,158,0,1748,1748,2347,2347,0.0,0.0,McGinn,0
0,0,0,None,None,0,123354,None,,0,0,0,0,0.0,290,122,None,,0,2,1.1,0.0,0,Kortney,0.0,0,0,0.0,307,123,39,False,0.0,300,123,0,,None,45,0,0,None,0,,123354.jpg,0.0,0,0,Hause,0.1,False,None,a,2,7,0.0,237,105,0,134,134,401,401,0.0,0.0,Hause,0
0,0,0,None,None,0,148508,6,,0,0,0,0,0.0,455,175,3,,0,3,1.3,0.0,0,Mahmoud Ahmed,0.0,0,0,0.0,456,175,40,False,0.0,452,174,0,,None,55,0,0,None,0,,148508.jpg,0.0,0,0,Ibrahim Hassan,1.4,False,None,a,2,7,0.0,437,160,0,7123,7123,7195,7195,0.0,0.0,Trézéguet,0
0,0,0,None,None,0,149484,None,,0,0,0,0,0.0,387,163,None,,0,2,1.6,0.0,0,Tyrone,0.0,0,0,0.0,394,163,41,False,0.0,388,163,0,,None,50,0,0,None,0,,149484.jpg,0.0,0,0,Mings,1.5,False,None,a,2,7,0.0,357,159,0,2713,2713,5627,5627,0.0,0.0,Mings,0
0,0,0,None,None,0,169359,4,,0,0,0,0,0.0,301,129,5,,0,2,1.1,0.0,0,Matt,0.0,0,0,0.0,316,130,42,False,0.0,309,130,0,,None,45,0,0,None,0,,169359.jpg,0.0,0,0,Targett,1.0,False,None,a,2,7,0.0,250,113,0,2389,2389,4316,4316,0.0,0.0,Targett,0
0,0,0,0,0,0,184386,None,,0,0,0,0,0.0,308,134,None,,0,2,0.0,0.0,0,James,0.0,0,0,0.0,323,135,43,False,0.0,316,135,0,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,0,0,None,0,,184386.jpg,0.0,0,0,Bree,0.0,False,None,u,2,7,0.0,258,119,0,33,33,169,169,0.0,0.0,Bree,0
0,0,0,None,None,0,184704,None,,0,0,0,0,0.0,309,113,None,,0,3,0.5,0.0,0,Marvelous,0.0,0,0,0.0,324,114,44,False,0.0,317,111,0,,None,45,0,0,None,0,,184704.jpg,0.0,0,0,Nakamba,0.6,False,None,a,2,7,0.0,259,77,0,1451,1451,3249,3249,0.0,0.0,Nakamba,0
0,0,0,None,None,0,193488,5,,0,0,0,0,0.0,496,193,2,,0,3,1.6,0.0,0,Anwar,0.0,0,0,0.0,497,193,45,False,0.0,494,192,0,,None,60,0,0,2,0,,193488.jpg,0.0,0,0,El Ghazi,0.2,False,None,a,2,7,0.0,490,187,0,615,615,1093,1093,0.0,0.0,El Ghazi,0
0,0,0,None,None,0,199798,None,,0,0,0,0,0.0,313,136,None,,0,2,1.1,0.0,0,Ezri,0.0,0,0,0.0,328,137,46,False,0.0,321,137,0,,None,45,0,0,None,0,,199798.jpg,0.0,0,0,Konsa Ngoyo,0.2,False,None,a,2,7,0.0,265,123,0,419,419,887,887,0.0,0.0,Konsa,0
0,0,0,None,None,0,203368,None,,0,0,0,0,0.0,315,138,None,,0,2,1.1,0.0,0,Frédéric,0.0,0,0,0.0,330,139,47,False,0.0,323,139,0,,None,45,0,0,None,0,,203368.jpg,0.0,0,0,Guilbert,0.2,False,None,a,2,7,0.0,268,125,0,183,183,724,724,0.0,0.0,Guilbert,0
0,0,0,0,0,0,213345,None,,0,0,0,0,0.0,498,56,None,,0,4,0.0,0.0,0,Wesley,0.0,0,0,0.0,499,57,48,False,0.0,496,55,0,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,0,0,1,0,,213345.jpg,0.0,0,0,Moraes,0.0,False,None,i,2,7,0.0,493,57,0,84,84,168,168,0.0,0.0,Wesley,0
0,0,0,None,None,0,217487,None,,0,0,0,0,0.0,499,57,None,,0,4,1.3,0.0,0,Mbwana,0.0,0,0,0.0,500,58,49,False,0.0,497,56,0,,None,60,0,0,None,0,,217487.jpg,0.0,0,0,Samatta,0.1,False,None,a,2,7,0.0,494,58,0,658,658,1058,1058,0.0,0.0,Samatta,0
0,0,0,None,None,0,221239,None,,0,0,0,0,0.0,325,30,None,,0,4,0.5,0.0,0,Keinan,0.0,0,0,0.0,340,31,50,False,0.0,333,27,0,,None,45,0,0,None,0,,221239.jpg,0.0,0,0,Davis,16.0,False,None,a,2,7,0.0,281,31,0,100784,100784,68448,68448,0.0,0.0,Davis,0
0,0,0,None,None,0,223349,None,,0,0,0,0,0.0,328,31,None,,0,4,0.5,0.0,0,Indiana,0.0,0,0,0.0,343,32,51,False,0.0,336,28,0,,None,45,0,0,None,0,,223349.jpg,0.0,0,0,Vassilev,2.3,False,None,a,2,7,0.0,284,32,0,24940,24940,15898,15898,0.0,0.0,Vassilev,0
0,0,0,None,None,0,230046,None,,0,0,0,0,0.0,416,158,4,,0,3,0.9,0.0,0,Douglas Luiz,0.0,0,0,0.0,421,158,52,False,0.0,416,157,0,,None,50,0,0,None,0,,230046.jpg,0.0,0,0,Soares de Paulo,0.4,False,None,a,2,7,0.0,392,137,0,1327,1327,2314,2314,0.0,0.0,Douglas Luiz,0
0,0,0,None,None,0,199796,None,,0,0,0,0,0.0,406,170,None,,0,2,1.6,0.0,0,Matthew,0.0,0,0,0.0,412,170,496,False,0.0,407,170,0,,None,50,0,0,None,0,,199796.jpg,0.0,0,0,Cash,0.4,False,None,a,2,7,0.0,379,166,0,2472,2472,1955,1955,0.0,0.0,Cash,0
0,0,0,None,None,0,178301,None,,0,0,0,0,0.0,494,53,None,,0,4,1.3,0.0,0,Ollie,0.0,0,0,0.0,495,54,514,False,0.0,492,52,0,,None,60,0,0,None,0,,178301.jpg,0.0,0,0,Watkins,1.3,False,None,a,2,7,0.0,488,54,0,32968,32968,8193,8193,0.0,0.0,Watkins,0
0,0,0,0,0,0,20529,None,,0,0,0,0,0.0,345,32,None,,0,4,0.0,0.0,0,Glenn,0.0,0,0,0.0,359,33,53,False,0.0,352,29,0,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02T09:00:10.449975Z,50,0,0,None,0,,20529.jpg,0.0,0,0,Murray,0.2,False,None,n,3,36,0.0,303,33,0,1101,1101,4299,4299,0.0,0.0,Murray,0
0,0,6,75,None,0,39155,None,,0,0,0,0,27.2,21,15,None,,0,3,1.3,1.2,1,Adam,1.0,1,0,3.6,81,38,54,False,6.8,151,62,44,Knock - 75% chance of playing,2020-09-14T21:30:11.145732Z,65,0,0,None,0,,39155.jpg,1.0,0,0,Lallana,1.1,False,None,d,3,36,2.0,127,62,1,2089,2089,17159,17159,0.2,0.2,Lallana,0
0,0,0,None,None,0,40845,None,,0,0,0,0,0.0,246,106,None,,0,3,0.5,0.0,0,Dale,0.0,0,0,0.0,265,107,55,False,0.0,257,103,0,,None,45,0,0,None,0,,40845.jpg,0.0,0,0,Stephens,13.0,False,None,a,3,36,0.0,183,66,0,19077,19077,77893,77893,0.0,0.0,Stephens,0
0,0,4,None,None,0,60307,1,,0,0,0,0,0.3,185,101,2,,0,3,1.6,1.1,1,Pascal,1.0,0,0,0.3,203,95,57,False,2.6,182,84,11,,None,60,0,0,2,0,,60307.jpg,1.0,0,0,Groß,0.2,False,None,a,3,36,0.0,467,177,1,371,371,1172,1172,0.2,0.2,Groß,0
0,0,0,0,0,0,61933,None,,0,0,0,0,0.0,262,104,None,,0,2,0.0,0.0,0,Shane,0.0,0,0,0.0,280,105,58,False,0.0,273,105,0,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02T09:00:10.465117Z,45,0,0,None,0,,61933.jpg,0.0,0,0,Duffy,0.1,False,None,n,3,36,0.0,203,83,0,103,103,1631,1631,0.0,0.0,Duffy,0
0,0,0,100,50,0,66242,None,,0,0,0,0,0.0,364,137,None,,0,3,0.9,0.2,0,Davy,0.0,0,0,0.0,375,138,59,False,0.0,369,136,0,,2020-09-12T09:00:10.303956Z,50,0,0,None,0,,66242.jpg,0.0,0,0,Pröpper,0.1,False,None,a,3,36,0.0,326,108,0,33,33,1275,1275,0.0,0.0,Pröpper,0
0,0,0,0,0,0,74471,None,,0,0,0,0,0.0,367,138,None,,0,3,0.0,0.0,0,Aaron,0.0,0,0,0.0,378,139,60,False,0.0,372,137,0,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29T10:00:06.731343Z,50,0,0,None,0,,74471.jpg,0.0,0,0,Mooy,0.0,False,None,u,3,36,0.0,329,109,0,30,30,460,460,0.0,0.0,Mooy,0
0,0,0,None,None,0,78916,None,,0,0,0,0,0.0,267,108,None,,0,2,1.1,0.6,0,Dan,0.0,0,0,0.0,285,109,61,False,0.0,278,109,0,,None,45,0,0,None,0,,78916.jpg,0.0,0,0,Burn,0.8,False,None,a,3,36,0.0,210,88,0,818,818,5604,5604,0.0,0.0,Burn,0
0,0,16,None,None,0,83299,None,,0,0,0,0,1.2,147,38,1,,0,2,1.6,1.1,1,Lewis,1.0,3,0,2.9,96,30,62,False,20.4,54,26,90,,None,50,0,0,None,0,,83299.jpg,1.0,0,0,Dunk,8.2,False,None,a,3,36,7.0,80,17,1,8369,8369,40091,40091,0.2,0.2,Dunk,0
0,0,0,0,0,0,86153,None,,0,0,0,0,0.0,272,110,None,,0,2,0.0,0.0,0,Martín,0.0,0,0,0.0,290,111,63,False,0.0,283,111,0,Joined Real Betis on a permanent deal on 25/8,2020-08-25T16:00:07.591453Z,45,0,0,None,0,,86153.jpg,0.0,0,0,Montoya,0.0,False,None,u,3,36,0.0,217,92,0,23,23,265,265,0.0,0.0,Montoya,0
